month	vol_45	vol_cb	vol_4e	vol_11	vol_9d	vol_5a	vol_a6	vol_1d
1	15925895.93	2745466908	5485313088	162690399.6	19909747.27	18278942.2	512045151.4	775985427.4
2	446691897.6	1075526694	2400919602	795326358.4	7742532.898	28006159.64	521045480.5	377560670.4
3	907163681.4	632125608.7	1624140521	1623514353	6082427.396	60467404.21	246628503.2	324202852.1
4	1082836990	784967990.5	2350037750	5111992187	27393243.54	63371418.09	431169608.1	489380647.6
5	1741261203	879213209.4	1402089117	4013282073	96046678.24	30611140.55	366163983.5	396503988.9
6	2635908532	1011683849	1299212434	4126321936	157665496.9	39836938.19	225865363.3	252276285.4
7	2344474232	781725244.7	1261119274	4597138083	56745575.06	19527659.4	196514313.7	105755991.6
8	1334051215	1082508187	2392119750	5933038675	89741633.02	18772332.22	152861002.7	78390506.79
9	1200840720	1100993580	1046623186	3044000887	42230826.38	41156618.99	239927625	69343054.38
10	1201858726	942590603.5	1191598195	4623366017	47761541.02	7429536.295	97475990.07	27247307.7
11	1763376550	794334089.5	1072744231	3427443216	54071014.73	21470652.94	86821314.3	79900649.14
12	1960686571	697203961.9	807021242.9	2784664506	53054809.7	36043311.98	111621158.4	85187339.36
13	7018638270	1188917744	1735071238	1997500813	101880981	9273520.601	205861237.3	42100883.7
14	7215941077	803931918.3	1138039814	1294709843	56356661.2	13870508.71	178308290.9	50599534.47
15	2700698424	1264973435	876678078.1	901503966.3	4919700.927	26606364	86858262.94	131006128.3
16	1926679717	1233322360	689180366.4	1598166901	5422152.422	12875734.26	125588124.5	135595535.8
17	1413173199	897908974.3	591138355.7	1408881531	10613199.81	4707600.69	213914813.2	74728352.5
18	1286474389	454832820.5	288448684.3	1105506216	6805288.922	4286455.804	162072473.3	91467819.78
19	2514392188	1040145862	752892519.1	1934132585	11690525.51	17891030.14	422962973.6	235563233.1
20	923532449.5	229105376.6	131190877.5	1065085056	2063310.672	13454279.32	146851218.4	104435222.9
21	1402085785	427130797.8	257660643	1253125619	10999340.59	33864144.28	187513318.4	156069656.5
22	1261192249	354842777.6	298323702.4	1409936523	9698774.658	21399155.73	234326723.2	135264882.4
23	2986029275	692869317	611852703.6	5213648354	18547611.14	16305664.61	191952221.5	72158699.6
24	1332996887	501857113.3	289939029	1603536894	26133551.09	10540678.38	128928832.9	36841829.86
25	715690579	294730041.4	171797597.6	1829359867	36558879.92	2586874.085	63652691.25	24730948.68
26	1160059828	330298031.7	181896136.4	2535718740	44289738.25	8138137.678	126240585.4	43733402.34
27	725080961.5	179440406.7	95716135.03	1750841037	26183225.61	9960837.41	282311570.9	73308028.76
28	769396442.8	160030935.9	113806373.4	1330783954	32187102.74	5269250.331	209064696.6	67802313.4
29	808535763.3	140532684.1	81687281.48	751295989.1	9264694.869	3805462.463	100361183.9	68254437.98
30	1439847197	216721439.3	217725681.4	1258193508	22662875.98	11016223.14	440769301.7	57716682.61
31	1101932917	289258390.7	449446481.1	2046367939	17162849.8	9060318.034	722073182	188446166.9
32	1052385230	378374159.3	662264780.5	2333563935	27859741.24	14415033.67	572131199.2	170038142.9
33	1681439918	711492029	626147719.9	2692440503	115140530.9	11350818.4	430128797.4	89122133.39
34	1722317732	784733863.5	302867252.6	1922221833	165064889.3	5887780.757	344374067.6	311015534.5
35	3380356614	1310833090	850414160.3	4800240599	381687846.5	12261538.75	340271297.5	455939484.3
36	1803571869	618811291	1143189216	5032262838	505254411.7	10004237.18	211964892.1	198419040.1
37	1942416147	1061273402	745494189.4	3991047826	415588557.9	6207641.13	204290870.2	158329932
38	1253134399	546661012.5	590536313.9	2594494955	99308434.57	7557914.145	101562757	159929476.3
39	2242972177	837061936.9	939943735.5	4040315963	348820225.4	19096624.02	128591319.8	64845611.52
40	2112963196	468948670.4	756181495	1599302472	398837924.8	130442478.9	168081981.6	88082976.84
41	1067476411	117987493.2	188739672	288142238.9	260065389.7	175047903.8	98962738.38	93489983.86
42	1168842016	127096646.1	556477904.2	785054305.1	313243038	145567373.5	111939667.9	120906815.4
43	2634917756	466317714.5	2569225936	3137872558	491176015.8	221886944.6	506648478.3	360884660.6
44	2273905724	354154355.8	1517930163	3238547997	1196936825	310457076	961037076.2	655905199.5
45	3220195124	165372930.4	810215718	4452955015	821572833.6	295856857.1	624032960	322480331.8
46	2122421981	267537648.8	1150060520	2871080635	590184352.1	275394752	379567642.1	264222988.5
47	1635752770	142714947.4	741654436.2	2845545259	472600126.9	307224222	365997676.1	185753387.6
48	748703071.3	336554608.3	590510374.2	1107302731	109016142.1	145086539.8	154701062.8	106677393.8
49	1350691532	165770136.8	1115257368	1185401127	257475320.8	275774197	108633450.3	147462464
50	364158167.6	257188659	667795051.8	783627997.9	186057935.1	217338981	106419165.6	237541513.7
51	342508103.6	91334752.39	921613378.5	1997744143	111994190.5	143360306.9	187760488.1	321288674.1
52	374934560.3	330249287.3	1895561866	2558789105	133551080.4	184889652.6	517739972.7	182614378.3
53	168018359.8	326813133	1553365986	1058578447	192977940.4	89650299.56	157971561.4	39935471.9
54	853682061.9	285464976.8	2247636791	576643324.8	162636429.4	100064099.2	245127962	28071513.82
55	621374654.6	134780470.3	1421828767	1977149632	177194450	208306959.5	273473199.5	105503522.1
