month	tvl_45	tvl_cb	tvl_4e	tvl_11	tvl_9d	tvl_5a	tvl_a6	tvl_1d
1	195133.6954	243372021.5	143134949.8	1175486.8	401312.0693	2123184.585	32006517.73	75857620.75
2	16307412.17	169087298.5	120834616.3	12395858.66	727375.7627	3707367.295	34435076.95	57918030.1
3	21319109.12	206981976.9	143854077.2	13879121.8	1625133.591	6028471.646	30889918.29	71027240.89
4	38942410.11	286268559.2	197895540.5	56362603.23	8981874.557	8858150.085	38176861.26	97153215.65
5	49678150	225216517.1	130359222.9	21423620.61	11876868.73	5363796.666	42935463.43	62156687.8
6	140355186.8	318739571	162973976.5	37400784.27	10980839.02	6476270.764	34347006.59	70137733.95
7	106723757.8	324063489.8	189232009	57593617.4	10441313.73	4754645.415	32197602.21	56406871.08
8	59324380.61	303393184.9	177070610.1	38200545.03	11644518.72	8116268.243	20254635.12	39349537.27
9	48856445.08	256599236.8	129869354.4	35000438.5	8424649.929	6611168.838	16872284	28020212.73
10	64212346.52	304801551.8	153722632.5	44987968.15	10039010.89	6829009.849	18363061.26	23294254.07
11	89111545.47	354700184.1	192585160.3	55007122.39	13832546.7	6882651.226	23060321.15	31506988.9
12	83526470.87	353421374.3	187614386.5	52457035.84	15341426.4	5611988.883	19907483.75	19793951
13	123055933.2	221532962.2	124233082.8	25823086.39	10204782.24	4408534.457	13908963.57	12609697.78
14	84599383.07	167759287.2	118683234.6	22408992.76	4928296.665	2219543.81	9003808.779	11834370.85
15	93611146.01	274434553.5	138181940.1	27758429.55	4264197.689	4474802.483	13245583.43	21539039.86
16	72906632.25	274380387	112768375.5	33891960.91	4130737.357	4092985.768	20287845	15859829.74
17	63971313.59	236895830	120653651.5	33344726.76	5725216.232	1402665.882	20137410.83	13366138.47
18	95007432	229297503.1	143874099.2	41654555.59	6062763.961	1533268.188	20154018.78	20940578.6
19	111289515.8	179720942.5	126703984	34384095.58	4270899.069	3981355.39	31044889.08	37337737
20	115647850.4	171903774.8	116820290.4	49925075.02	5063785.062	3586976.008	17858239.29	31590182.86
21	147263085.7	234886340	137542780.5	45920387.55	5103205.913	4896187.407	24721008.39	43416932.97
22	137927259.8	248557589.6	142787579.4	64671862.09	5354555.678	4285855.682	30381979.77	43730169.4
23	124148761.3	306633211	140100252.5	73821916.49	7072859.882	4809601.32	29984073.45	40939602.25
24	127868979.9	304105758.8	136940808.4	64303523.98	16184943.36	3711257.839	29993723.02	36802190
25	125850970.6	295127267.6	131828571.4	77772813.1	17157626.05	1886492.624	29544683.63	32161770.39
26	125048214.3	297379675.2	134733113.4	116662801	14544306.93	2032679.901	29311046.36	33301578.21
27	112725028	281681152.7	132005939.9	103582782.2	14289383.32	2222268.287	32315986.22	37050056.18
28	97118814.23	236358200.6	124186753.9	88622196.99	9376245.414	1969617.046	28795950.98	29331971.58
29	108809233.5	251545717.8	126012871.7	65276401.85	9312401.268	2239037.316	30644324.52	37204754.46
30	87437186.27	240741385.5	139036367.7	69194820.28	12923011.08	2744161.481	47603849.09	29257484.18
31	94608929.36	271964677.4	155238267.1	78875759.35	13192367.91	3060311.115	57075178.44	34654630.93
32	104077035.8	301552118.2	157796609	73159220.77	14992292.4	3427982.277	60627448.84	42651892.57
33	103336653.6	312373961.3	149027016.6	68920620.03	19871805.31	3163318.085	67483442.58	39381170.2
34	160838117.7	477389830.2	161063307	72584601.16	35562345.16	3609312.575	81769199.51	50138700.36
35	160561990.6	494737986.3	200160231	93054029.39	37248561.86	4516250.856	79374524.56	78531428.9
36	131443649.1	428076217.2	199878278.1	93405056.2	54160559.28	2987164.05	58338940.17	40330562.19
37	152885349.9	494385293.9	221582178	101353978.3	26437603.65	3755585.607	75429698.76	54525122.18
38	143714395.3	461822709.7	223236857.9	105485857.1	57026645.66	3447269.358	62094687.04	52313640.78
39	161454861.6	442304142.5	222313563.4	93039887.26	55928603.76	3805745.946	61339077.95	46076570.78
40	124946817.2	331840935.3	186988062.4	75150191.43	47115640.55	11286488.03	50984482.55	36643385.13
41	125007513.5	341702432.2	193932630.7	70645290.35	60381939.75	16172934.79	54571290.46	44157092.12
42	122388616.8	323848669.8	191418886.9	74485870.63	65118972.9	11055843.63	52924793.81	42790078.37
43	159509729.9	371561482.2	304170170.1	104924282.6	84366033.43	19728036.05	85288702.54	71280440.98
44	149366953.5	331372880.6	219815663.1	134672172	115234046.2	19137370.15	95008939.07	67776721.11
45	164973690.6	327411133.1	252553499.5	121723041.6	66418869.5	24313600.3	100900213.8	71333922.65
46	109073546	241359869.9	211431775.7	115890057	60667460.69	19420402.4	65718585.13	49689897.17
